timestamp,temperature,humidity,gas_voltage
2025-12-31 22:43:03,18.2,67,0.6663
2025-12-31 22:43:23,18.2,67,0.664
2025-12-31 22:43:44,18.2,67,0.663
2025-12-31 22:44:04,18.2,67,0.6616
2025-12-31 22:44:24,18.2,67,0.6606
2025-12-31 22:44:45,18.2,67,0.6564
2025-12-31 22:45:05,18.2,67,0.6565
2025-12-31 22:50:31,18.2,67,0.6366
2025-12-31 22:50:52,18.2,67,0.6361
2025-12-31 22:51:12,18.2,67,0.6349
2025-12-31 22:51:32,18.2,68,0.6346
2025-12-31 22:51:53,18.2,68,0.6319
2025-12-31 22:52:13,18.2,68,0.6349
2025-12-31 22:52:34,18.2,68,0.6324
2025-12-31 22:52:54,18.2,68,0.631
2025-12-31 22:53:14,18.2,68,0.6321
2025-12-31 22:53:35,18.2,68,0.6315
2025-12-31 22:53:55,18.2,68,0.6291
2025-12-31 22:54:15,18.2,68,0.6292
2025-12-31 22:54:36,18.2,68,0.6259
2025-12-31 22:54:56,18.2,68,0.626
2025-12-31 22:54:57,18.2,68,0.625
2025-12-31 22:55:17,18.2,68,0.6246
2025-12-31 22:55:17,18.2,68,0.6246
2025-12-31 22:55:37,18.2,68,0.6231
2025-12-31 22:55:37,18.2,68,0.6231
2025-12-31 22:55:57,18.2,68,0.6219
2025-12-31 22:55:57,18.2,68,0.6219
2025-12-31 22:56:18,18.2,68,2.3883
2025-12-31 22:56:18,18.2,68,2.3883
2025-12-31 22:56:38,18.2,68,1.3744
2025-12-31 22:56:38,18.2,68,1.3744
2025-12-31 22:56:58,18.2,68,1.1298
2025-12-31 22:56:58,18.2,68,1.1298
2025-12-31 22:57:19,18.2,68,0.969
2025-12-31 22:57:19,18.2,68,0.969
2025-12-31 22:57:39,18.2,68,0.8613
2025-12-31 22:57:39,18.2,68,0.8613
2025-12-31 22:58:00,18.2,68,0.8034
2025-12-31 22:58:00,18.2,68,0.8034
2025-12-31 22:58:20,18.2,68,0.767
2025-12-31 22:58:20,18.2,68,0.767
2025-12-31 22:58:40,18.2,68,0.7331
2025-12-31 22:58:40,18.2,68,0.7331
2025-12-31 22:59:01,18.2,68,0.7146
2025-12-31 22:59:01,18.2,68,0.7146
2025-12-31 22:59:21,18.2,68,0.6997
2025-12-31 22:59:21,18.2,68,0.6997
2025-12-31 22:59:42,18.2,68,0.6973
2025-12-31 22:59:42,18.2,68,0.6973
2025-12-31 23:00:02,18.2,68,0.6883
2025-12-31 23:00:02,18.2,68,0.6883
2025-12-31 23:00:22,18.2,68,0.6775
2025-12-31 23:00:22,18.2,68,0.6775
2025-12-31 23:00:43,18.2,68,0.6726
2025-12-31 23:00:43,18.2,68,0.6726
2025-12-31 23:01:03,18.2,68,0.6676
2025-12-31 23:01:03,18.2,68,0.6676
2025-12-31 23:01:23,18.2,68,0.6614
2025-12-31 23:01:23,18.2,68,0.6614
2025-12-31 23:01:44,18.2,68,0.6579
2025-12-31 23:01:44,18.2,68,0.6579
2025-12-31 23:02:04,18.2,68,0.6471
2025-12-31 23:02:04,18.2,68,0.6471
2025-12-31 23:02:25,18.2,68,0.649
2025-12-31 23:02:25,18.2,68,0.649
2025-12-31 23:02:45,18.2,68,0.6395
2025-12-31 23:02:45,18.2,68,0.6395
2025-12-31 23:03:05,18.2,68,0.6372
2025-12-31 23:03:05,18.2,68,0.6372
2025-12-31 23:03:26,18.2,68,0.6318
2025-12-31 23:03:26,18.2,68,0.6318
2025-12-31 23:03:46,18.2,68,0.6256
2025-12-31 23:03:46,18.2,68,0.6256
2025-12-31 23:04:06,18.2,68,0.6242
2025-12-31 23:04:06,18.2,68,0.6242
2025-12-31 23:04:27,18.2,68,0.6212
2025-12-31 23:04:27,18.2,68,0.6212
2025-12-31 23:04:47,18.2,68,0.6186
2025-12-31 23:04:47,18.2,68,0.6186
2025-12-31 23:05:08,18.2,68,0.6185
2025-12-31 23:05:08,18.2,68,0.6185
2025-12-31 23:05:28,18.2,68,0.6129
2025-12-31 23:05:28,18.2,68,0.6129
2025-12-31 23:05:48,18.2,68,0.6096
2025-12-31 23:05:48,18.2,68,0.6096
2025-12-31 23:06:09,18.2,68,0.6082
2025-12-31 23:06:09,18.2,68,0.6082
2025-12-31 23:06:29,18.2,68,0.6059
2025-12-31 23:06:29,18.2,68,0.6059
2025-12-31 23:06:50,18.2,68,0.6013
2025-12-31 23:06:50,18.2,68,0.6013
2025-12-31 23:07:10,18.2,68,0.5981
