timestamp,temperature,humidity,gas_voltage,is_spike,voltage_change
2025-12-31 22:29:28,18.2,67.0,0.476,0,-0.0001000000000000445
2025-12-31 22:29:48,18.2,67.0,0.474,0,-0.0020000000000000018
2025-12-31 22:30:08,18.2,67.0,1.8349,1,1.3609
2025-12-31 22:30:29,18.2,67.0,1.5488,1,-0.2861
2025-12-31 22:30:49,18.2,67.0,1.2186,1,-0.33020000000000005
2025-12-31 22:31:09,18.2,67.0,1.1892,1,-0.02939999999999987
2025-12-31 22:31:30,18.2,67.0,1.0676,1,-0.12159999999999993
2025-12-31 22:31:50,18.2,67.0,0.8385,1,-0.22910000000000008
2025-12-31 22:32:11,18.2,67.0,0.9317,1,0.09319999999999995
2025-12-31 22:32:31,18.2,67.0,0.8445,1,-0.08719999999999994
2025-12-31 22:32:51,18.2,67.0,0.8127,1,-0.03180000000000005
2025-12-31 22:33:12,18.2,67.0,0.804,1,-0.00869999999999993
2025-12-31 22:33:32,18.2,67.0,0.7833,1,-0.02070000000000005
2025-12-31 22:33:53,18.2,67.0,0.7705,1,-0.012800000000000034
2025-12-31 22:34:13,18.2,67.0,0.7605,1,-0.010000000000000009
2025-12-31 22:34:33,18.2,67.0,0.7518,1,-0.00869999999999993
2025-12-31 22:34:54,18.2,67.0,0.7481,1,-0.0037000000000000366
2025-12-31 22:35:14,18.2,67.0,0.7396,1,-0.008499999999999952
2025-12-31 22:35:34,18.2,67.0,0.73,1,-0.009600000000000053
2025-12-31 22:35:55,18.2,67.0,0.7269,1,-0.0030999999999999917
2025-12-31 22:36:15,18.2,67.0,0.722,1,-0.0049000000000000155
2025-12-31 22:36:36,18.2,67.0,0.7155,1,-0.00649999999999995
2025-12-31 22:36:56,18.2,67.0,0.7107,1,-0.0048000000000000265
2025-12-31 22:37:16,18.2,67.0,0.7064,1,-0.0042999999999999705
2025-12-31 22:37:37,18.2,67.0,0.7037,1,-0.0027000000000000357
2025-12-31 22:37:57,18.2,67.0,0.6985,0,-0.005199999999999982
2025-12-31 22:38:17,18.2,67.0,0.6957,0,-0.0028000000000000247
2025-12-31 22:38:38,18.2,67.0,0.693,0,-0.0027000000000000357
2025-12-31 22:38:58,18.2,67.0,0.6904,0,-0.0025999999999999357
2025-12-31 22:39:19,18.2,67.0,0.6873,0,-0.0030999999999999917
2025-12-31 22:39:39,18.2,67.0,0.6844,0,-0.0029000000000000137
2025-12-31 22:39:59,18.2,67.0,0.6824,0,-0.0020000000000000018
2025-12-31 22:40:20,18.2,67.0,0.68,0,-0.0023999999999999577
2025-12-31 22:40:40,18.2,67.0,0.6783,0,-0.0017000000000000348
2025-12-31 22:41:01,18.2,67.0,0.6756,0,-0.0027000000000000357
2025-12-31 22:41:21,18.2,67.0,0.6754,0,-0.00019999999999997797
2025-12-31 22:41:41,18.2,67.0,0.6739,0,-0.0014999999999999458
2025-12-31 22:42:02,18.2,67.0,0.6713,0,-0.0026000000000000467
